x,y
0,-0.033
0,-0.035
0.001,-0.035
0.001,-0.03
0.001,-0.03
0.001,-0.033
0.002,-0.032
0.002,-0.033
0.002,-0.033
0.002,-0.037
0.003,-0.035
0.003,-0.042
0.003,-0.042
0.003,-0.038
0.004,-0.042
0.004,-0.047
0.004,-0.047
0.004,-0.052
0.004,-0.053
0.005,-0.058
0.005,-0.058
0.005,-0.063
0.005,-0.063
0.006,-0.06
0.006,-0.063
0.006,-0.06
0.006,-0.06
0.007,-0.058
0.007,-0.058
0.007,-0.057
0.007,-0.058
0.008,-0.057
0.008,-0.06
0.008,-0.055
0.009,-0.055
0.009,-0.05
0.009,-0.052
0.009,-0.042
0.009,-0.042
0.01,-0.037
0.01,-0.037
0.01,-0.032
0.011,-0.032
0.011,-0.025
0.011,-0.027
0.011,-0.018
0.011,-0.017
0.012,-0.008
0.012,-0.008
0.012,0.005
0.013,0.005
0.013,0.013
0.013,0.015
0.013,0.01
0.013,0.008
0.014,-0.018
0.014,-0.02
0.014,-0.045
0.015,-0.045
0.015,-0.057
0.015,-0.057
0.015,-0.055
0.015,-0.057
0.016,-0.05
0.016,-0.05
0.016,-0.045
0.017,-0.047
0.017,-0.048
0.017,-0.048
0.017,-0.053
0.018,-0.053
0.018,-0.06
0.018,-0.06
0.018,-0.078
0.018,-0.078
0.019,-0.108
0.019,-0.11
0.019,-0.088
0.019,-0.085
0.02,0.01
0.02,0.013
0.02,0.037
0.021,0.032
0.021,0.003
0.021,0.005
0.021,0.002
0.021,0.002
0.022,-0.005
0.022,-0.007
0.022,-0.002
0.022,-0.002
0.023,0.007
0.023,0.007
0.023,0.035
0.024,0.037
0.024,0.07
0.024,0.072
0.024,0.002
0.025,-0.028
0.025,0.265
0.025,0.322
0.025,0.033
0.025,0.302
0.026,-0.182
0.026,-0.197
0.026,-0.378
0.026,-0.382
0.027,-0.277
0.027,-0.27
0.027,-0.083
0.028,-0.077
0.028,0.027
0.028,0.03
0.028,0.062
0.029,0.06
0.029,0.02
0.029,0.018
0.029,-0.018
0.029,-0.02
0.03,-0.032
0.03,-0.03
0.03,-0.02
0.03,-0.018
0.031,-0.003
0.031,-0.003
0.031,0.007
0.032,0.007
0.032,0.015
0.032,0.013
0.032,0.022
0.033,0.022
0.033,0.033
0.033,0.033
0.033,0.052
0.034,0.052
0.034,0.083
0.034,0.085
0.034,0.138
0.035,0.14
0.035,0.195
0.035,0.232
0.035,0.13
0.035,0.113
0.036,-0.048
0.036,-0.018
0.036,0.18
0.036,0.145
0.037,0.105
0.037,0.107
0.037,0.115
0.037,0.108
0.038,0.065
0.038,0.063
0.038,0.002
0.038,0
0.039,-0.047
0.039,-0.048
0.039,-0.078
0.04,-0.08
0.04,-0.098
0.04,-0.098
0.04,-0.105
0.041,-0.103
0.041,-0.105
0.041,-0.105
0.041,-0.098
0.042,-0.1
0.042,-0.092
0.042,-0.093
0.042,-0.082
0.043,-0.08
0.043,-0.072
0.043,-0.072
0.043,-0.06
0.043,-0.058
0.044,-0.05
0.044,-0.05
0.044,-0.042
0.044,-0.042
0.045,-0.037
0.045,-0.038
0.045,-0.033
0.045,-0.033
0.046,-0.028
0.046,-0.033
0.046,-0.03
0.046,-0.03
0.047,-0.025
0.047,-0.025
0.047,-0.017
0.048,-0.017
0.048,-0.008
0.048,-0.008
0.048,0.002
0.049,0.002
0.049,0.003
0.049,0.005
0.049,0.002
0.05,0.003
0.05,0.002
0.05,0
0.05,0.005
0.051,0.003
0.051,0.007
0.051,0.003
0.051,0.007
0.051,0.005
0.052,0.002
0.052,0.003
0.052,0
0.052,0
0.053,-0.003
0.053,-0.005
0.053,-0.003
0.053,-0.007
0.054,-0.003
0.054,-0.003
0.054,-0.007
0.054,-0.007
0.055,-0.008
0.055,-0.007
0.055,-0.008
0.056,-0.008
0.056,-0.01
0.056,-0.008
0.056,-0.005
0.057,-0.005
0.057,0.002
0.057,0.002
0.057,0.008
0.058,0.008
0.058,0.013
0.058,0.013
0.058,0.02
0.059,0.02
0.059,0.023
0.059,0.023
0.059,0.03
0.059,0.028
0.06,0.04
0.06,0.04
0.06,0.05
0.06,0.048
0.061,0.057
0.061,0.057
0.061,0.053
0.061,0.055
0.062,0.048
0.062,0.048
0.062,0.037
0.062,0.037
0.063,0.028
0.063,0.028
0.063,0.025
0.064,0.028
0.064,0.03
0.064,0.028
0.064,0.015
0.065,0.013
0.065,-0.015
0.065,-0.015
0.065,-0.033
0.066,-0.032
0.066,-0.033
0.066,-0.033
0.066,-0.03
0.067,-0.033
0.067,-0.028
0.067,-0.032
0.067,-0.025
0.068,-0.027
0.068,-0.022
0.068,-0.023
0.068,-0.008
0.069,-0.008
0.069,0.005
0.069,0.007
0.069,0.022
0.07,0.022
0.07,0.015
0.07,0.02
0.07,0.003
0.07,0.002
0.071,-0.067
0.071,-0.067
0.071,0.037
0.071,0.038
0.072,-0.072
0.072,-0.048
0.072,0.018
0.072,0.02
0.073,0.042
0.073,0.042
0.073,0.05
0.073,0.052
0.074,0.057
0.074,0.055
0.074,0.043
0.074,0.042
0.075,0.028
0.075,0.027
0.075,0.015
0.075,0.015
0.076,0.005
0.076,0.007
0.076,0.003
0.076,0.003
0.077,0.007
0.077,0.007
0.077,0.012
0.077,0.01
0.078,0.002
0.078,0.002
0.078,-0.01
0.079,-0.01
0.079,-0.03
0.079,-0.03
0.079,-0.043
0.08,-0.043
0.08,-0.04
0.08,-0.04
0.08,-0.028
0.081,-0.027
0.081,-0.013
0.081,-0.013
0.081,0.002
0.082,0.003
0.082,0.02
0.082,0.02
0.082,0.037
0.083,0.037
0.083,0.04
0.083,0.037
0.083,0.032
0.084,0.032
0.084,0.023
0.084,0.023
0.084,0.017
0.085,0.017
0.085,0.013
0.085,0.013
0.085,0.01
0.086,0.012
0.086,0.008
0.086,0.008
0.086,0.01
0.086,0.008
0.087,0.017
0.087,0.015
0.087,0.02
0.087,0.02
0.088,0.025
0.088,0.025
0.088,0.027
0.088,0.028
0.089,0.032
0.089,0.03
0.089,0.032
0.089,0.028
0.09,0.033
0.09,0.032
0.09,0.037
0.09,0.037
0.091,0.042
0.091,0.042
0.091,0.045
0.091,0.043
0.092,0.038
0.092,0.04
0.092,0.032
0.092,0.032
0.093,0.02
0.093,0.02
0.093,0.007
0.093,0.007
0.094,-0.003
0.094,-0.003
0.094,-0.01
0.095,-0.008
0.095,-0.005
0.095,-0.008
0.095,-0.003
0.096,-0.005
0.096,-0.002
0.096,-0.007
0.096,-0.005
0.097,-0.007
0.097,-0.008
0.097,-0.008
0.097,-0.01
0.098,-0.01
0.098,-0.008
0.098,-0.008
0.098,-0.005
0.099,-0.005
0.099,-0.007
0.099,-0.007
0.099,-0.003
0.1,-0.005
0.1,-0.01
0.1,-0.008
0.1,-0.012
0.101,-0.013
0.101,-0.03
0.101,-0.03
0.101,-0.037
0.102,-0.037
0.102,-0.035
0.102,-0.033
0.102,-0.03
0.102,-0.03
0.103,-0.022
0.103,-0.022
0.103,-0.017
0.103,-0.017
0.104,-0.013
0.104,-0.012
0.104,0.002
0.104,0.002
0.105,0.008
0.105,0.007
